endTime,artistName,trackName,msPlayed
2020-07-27 06:18,The Sleep Helpers,Never Ending Rain,269327
2020-07-27 06:20,Sound Library XL,Sleep Rain,109126
2020-07-27 06:23,Decidic FX,Softer Rain,177976
2020-07-27 06:25,The Outdoor Library,Sounds of Nature: Dripping Rain,138122
2020-07-27 06:28,The Rain Library,Monsun Rain Fall,191780
2020-07-27 06:32,Sample Rain Library,Brain Relaxation Sky,262644
2020-07-27 06:36,The Sleep Helpers,Street Rain,230177
2020-07-27 06:40,Natural Sound Selections,Good Night Sleep,239187
2020-07-27 06:43,Rain Makers,Focus Rain,182812
2020-07-27 06:47,Serenity of Sound,Exotic Rain,222568
2020-07-27 06:52,Ambiworld,Heavy Rain on Front Porch With Distant Thunder,294052
2020-07-27 06:54,Gentle Rain Makers,Drip Drop Sleep,147614
2020-07-27 06:57,Rain Sound Studio,Miami Rain,146584
2020-07-27 07:00,Fabricantes De Lluvia,Cozy Rain Sound,169331
2020-07-27 07:01,White Noise Meditation,An Angry Thunderstorm,77121
2020-07-27 07:04,Weather Factory,Calm Rain & Thunder,200692
2020-07-27 07:07,Brain Timbre,Open Window Thunder Sounds,152810
2020-07-27 07:10,Factorial FX,Rain Droplets,185305
2020-07-27 07:12,Microdynamic Recordings,Calm Pour,143583
2020-07-27 07:15,Lush Rain Creators,Summer Rain 2,131775
2020-07-27 07:17,Sleep Tight,River Rain Fall,143617
2020-07-27 07:20,Rain Recordings,Poolside Rain,170005
2020-07-27 07:24,Natural Samples,Soft Rain Samples,236982
2020-07-27 07:27,Shaman,Open Skies,164750
2020-07-27 07:30,Fabricantes De Lluvia,Smooth Rain,216474
2020-07-27 07:33,Rain Recorders,Dock Rain,187290
2020-07-27 07:36,Sounds of Nature Noise,Rain Storm,147833
2020-07-27 07:39,The Alpinist,Kitzbuhel Mild Rain And Thunder 2 Redux - Redux,170000
2020-07-27 07:42,Pinetree Way,Sheltered in Light Rain,203200
2020-07-27 07:45,Weather Factory,Deep Thunderstorm,152562
2020-07-27 07:49,Heavy Rain Sounds,Heavy Rain With Brown Noise,246000
2020-07-27 07:51,Rain Sounds XLE Library,Rain Sound: Pouring,141430
2020-07-27 07:53,Stereo Outdoor Sampling,Quiet Rain in River,120083
2020-07-27 07:57,Mother Nature Sound FX,Pouring Rain & Thunder,222819
2020-07-27 07:59,Sky Fall SF,Rain Sounds: Rainfall,142502
2020-07-27 08:03,Epic Soundscapes,Heavy Rain,252329
2020-07-27 08:06,Dreams of Dreams,River Rain,181406
2020-07-27 08:09,Wp Sounds,Rain Sounds Chill,155861
2020-07-27 08:12,Forest FX,Camping Rain,184460
2020-07-27 08:15,The Outdoor Library,Sounds of Nature: Thunder,166789
2020-07-27 08:19,Selective Sounds PTA,Spring Rain,234197
2020-07-27 08:21,The White Noise Zen & Meditation Sound Lab,Calm Rain Storm & Gentle White Noise,148000
2020-07-27 08:23,Sound Library XL,Water Pour,115308
2020-07-27 08:26,Rain Sounds ACE,Rain in the Park,164452
2020-07-27 08:28,The Rain Library,Deep Rain,133412
2020-07-27 08:31,Rain Storm Sample Library,Sleep and Chill Rain,174319
2020-07-27 08:36,Shaman,Raining At Last,297099
2020-07-27 08:39,The Rain Library,White Noise Rain Sound,187290
2020-07-27 08:42,Chill Bees,Rain at Dawn,164335
2020-07-27 08:45,Rain Recorders,Cats And Dogs,168303
2020-07-27 08:46,Rain Sounds,Sleep Rain,66860
2020-07-27 08:49,Factorial FX,Soft Rain Pouring,172083
2020-07-27 08:58,Nature Sounds,Calm Rolling Thunder and Soothing Rain,570269
2020-07-27 09:02,Thunderstorm Sound Bank,Monsun Thunderstorm,191780
2020-07-27 09:04,Rain Sound Studio,Downpoar,152411
2020-07-27 09:06,Shaman,Tears of the City,128000
2020-07-27 09:09,Nature Recordings,Rain Walk,180120
2020-07-27 09:13,Rain Sounds Factory STHLM,Rain Sound : Monsun,250000
2020-07-27 09:17,The Rain Library,Dripping Rain,195319
2020-07-27 09:19,Yùhé 愈合,Soothing Rain,127331
2020-07-27 09:25,Nature Sounds,Rain And Thunder,345391
2020-07-27 09:27,Rain Man Sounds,Heavy Straight Rain,148413
2020-07-27 09:32,Thunderbound Productions,Timeless Rain,285342
2020-07-27 09:35,Big Sounds,In the Forest Rain,205172
2020-07-27 19:03,Dre'es,Warm (feat. Mia),3844
2020-07-27 19:03,Temani,Power,9425
2020-07-27 19:06,CLAY,orange,106070
2020-07-27 19:09,The Bees,I Love You,136533
2020-07-27 19:10,Dianna Lopez,So I Don't Feel Useless,80859
2020-07-27 19:10,Dianna Lopez,Euphoria,18480
2020-07-27 19:11,Faye Webster,She Won't Go Away,68761
2020-07-27 19:13,MF DOOM,Lavender Buds,108363
2020-07-27 19:15,Kevin Krauter,Shadow Boxing,101693
2020-07-27 19:17,Easy Socks,Baby Shut Up,145815
2020-07-27 19:17,Berhana,I Wasn't Told,3806
2020-07-27 19:18,Blood Orange,Orlando,14680
2020-07-27 19:18,Andy Shauf,Begin Again,13387
2020-07-27 19:19,"Tyler, The Creator",IGOR'S THEME,1137
2020-07-27 19:19,Stacie Orrico,(There's Gotta Be) More To Life,2089
2020-07-27 19:23,The Marías,ABQ,13841
2020-07-27 19:23,Mac Miller,My Favorite Part,216000
2020-07-27 19:27,Alina Baraz,Floating (feat. Khalid),11002
2020-07-27 19:27,Emma Stone,Someone In The Crowd,259613
2020-07-27 19:31,Phora,To the Moon,252320
2020-07-27 19:34,Taylor Swift,I Forgot That You Existed,170640
2020-07-27 19:39,Paramore,Tell Me How,260213
2020-07-27 19:42,Kali Uchis,Flight 22,216982
2020-07-27 19:45,Paramore,Hard Times,182693
2020-07-27 19:51,Camille,Le Festin,9749
2020-07-27 19:56,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),320720
2020-07-27 20:00,Addison Road,All That Matters,207453
2020-07-27 20:00,Tennyson,L'oiseau qui danse,116657
2020-07-27 20:00,Mild High Club,Skiptracing (Reprise),33013
2020-07-27 20:02,Bruno Mars,Young Girls,72007
2020-07-27 20:12,The Marías,Only in My Dreams,8368
2020-07-27 20:12,Dr. Buzzard's Original Savannah Band,Sunshower,63422
2020-07-27 20:12,Frank Ocean,Forrest Gump,194840
2020-07-27 20:15,Dua Lipa,Don't Start Now,183290
2020-07-27 20:16,Justin Hurwitz,Herman’s Habit,3989
2020-07-27 20:19,Oasis,Wonderwall,65712
2020-07-27 20:20,Oasis,Wonderwall,11280
2020-07-27 20:23,Oasis,Wonderwall,182237
2020-07-27 20:23,Yeasayer,2080,44145
2020-07-27 20:25,Taylor Swift,Red,66780
2020-07-27 20:25,The Vaccines,I Always Knew,5085
2020-07-27 20:28,Maluma,Corazón (feat. Nego do Borel),184720
2020-07-27 20:28,Ariana Grande,"break up with your girlfriend, i'm bored",3349
2020-07-27 20:28,Ariana Grande,bad idea,1671
2020-07-27 20:31,NIKI,Around,183546
2020-07-27 20:34,Mac DeMarco,Annie,146605
2020-07-27 20:35,King Gizzard & The Lizard Wizard,Paper Mâché,975
2020-07-27 20:38,Alessia Cara,Wild Things,188493
2020-07-27 20:38,Fieh,Chop Suey,7981
2020-07-27 20:42,Kali Uchis,Nuestro Planeta (feat. Reykon),202754
2020-07-27 22:04,Kali Uchis,Feel Like A Fool,247597
2020-07-27 22:07,Mac DeMarco,Let Her Go,182607
2020-07-27 22:11,Katy Perry,The One That Got Away,227333
2020-07-27 22:14,Kali Uchis,angel,143225
2020-07-27 22:17,Paramore,Grudges,187466
2020-07-27 22:20,Sublime,Santeria,182746
2020-07-27 22:24,Voxtrot,Raised By Wolves,280613
2020-07-27 22:29,Hayley Williams,Simmer,266115
2020-07-27 22:31,The Lemon Twigs,"Baby, Baby",145323
2020-07-28 01:18,Gorillaz,Superfast Jellyfish (feat. Gruff Rhys and De La Soul),174866
2020-07-28 01:24,Taylor Swift,Should've Said No,241038
2020-07-28 01:26,Amy Winehouse,(There Is) No Greater Love,128933
2020-07-28 01:29,Kali Uchis,Just A Stranger (feat. Steve Lacy),177697
2020-07-28 01:33,The Band Perry,DONE.,205266
2020-07-28 01:35,Taylor Swift,It’s Nice To Have A Friend,150440
2020-07-28 01:36,Alina Baraz,Coming To My Senses,42777
2020-07-28 01:39,WILLOW,Warm Honey,175369
2020-07-28 01:43,Taylor Swift,Lover,221306
2020-07-28 01:47,Bruno Mars,Moonshine,228573
2020-07-28 01:50,Francesca Battistelli,This Is the Stuff,183706
2020-07-28 01:53,Kali Uchis,Your Teeth In My Neck,186181
2020-07-28 01:56,Steven Universe,Here Comes a Thought (feat. Estelle & AJ Michalka),202340
2020-07-28 02:00,Beyoncé,Crazy In Love (feat. Jay-Z),236133
2020-07-28 02:02,Steven Universe,Love Like You (feat. Rebecca Sugar) - End Credits,143629
2020-07-28 02:05,The Jackson 5,ABC,177733
2020-07-28 02:08,Noname,Sunny Duet (feat. the Mind),162490
2020-07-28 02:12,Solange,Mad (feat. Lil Wayne),235493
2020-07-28 02:15,Kali Uchis,Tyrant (feat. Jorja Smith),204289
2020-07-28 02:19,Alicia Keys,If I Ain't Got You,228706
2020-07-28 02:22,Enur,Calabria 2008,3680
2020-07-28 02:22,Panic! At The Disco,I Constantly Thank God for Esteban,0
2020-07-28 02:22,Alina Baraz,More Than Enough,151462
2020-07-28 02:26,My Chemical Romance,I Don't Love You,238680
